step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,13.484174587161666,0,0.0,0.9604727731187577,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,13.72408625954864,0,0.0,0.959076833799832,0,0.0
15.0,11,0,0,0,11,0,0.0,0.0,12.358671081903516,0,0.0,0.8895635350502484,0,0.0
20.0,16,0,1,0,16,0,3.0,0.1875,12.115767394615698,1,3.0,0.8539270259279382,1,3.0
25.0,17,0,1,1,18,0,8.0,0.47058823529411764,11.755518146031227,1,8.0,0.821813278154855,1,8.0
30.0,17,0,3,5,22,0,16.0,0.9411764705882353,10.825422053197233,3,16.0,0.6771955981035465,3,16.0
35.0,16,0,3,7,23,0,31.0,1.9375,10.62463741056046,3,31.0,0.6341806634252944,3,31.0
40.0,14,0,0,10,24,0,0.0,0.0,9.137613654954727,0,9.0,0.5122122858722611,0,9.0
45.0,13,0,3,13,26,0,7.0,0.5384615384615384,9.01131773457408,3,7.0,0.45445143515535724,3,7.0
50.0,18,0,3,14,32,0,22.0,1.2222222222222223,9.712010848356664,3,22.0,0.6411164957174944,3,22.0
55.0,17,0,0,18,35,0,0.0,0.0,8.777170920336253,0,12.0,0.6530938839609705,0,12.0
60.0,17,0,1,20,37,0,5.0,0.29411764705882354,9.749122633685896,1,5.0,0.6539528650171383,1,5.0
65.0,21,0,2,20,41,0,3.0,0.14285714285714285,10.152372742437606,2,3.0,0.6639867764424151,2,3.0
70.0,20,0,6,24,44,0,23.0,1.15,8.425056214108446,6,23.0,0.4557311768858685,6,23.0
75.0,20,0,7,27,47,0,56.0,2.8,7.92319266637598,7,56.0,0.4054889656673429,7,56.0
80.0,22,0,2,30,52,0,16.0,0.7272727272727273,6.939430623604096,2,59.0,0.462841564117086,2,59.0
85.0,25,0,2,31,56,0,6.0,0.24,8.83888110650628,2,25.0,0.532053454110094,2,25.0
90.0,28,0,4,33,61,0,20.0,0.7142857142857143,10.140539949774176,4,20.0,0.5875443641267889,4,20.0
95.0,27,0,4,37,64,0,40.0,1.4814814814814814,10.185585269257244,4,40.0,0.592250536132736,4,40.0
100.0,27,0,2,41,68,0,3.0,0.1111111111111111,7.343846764927904,2,28.0,0.38046877812752955,2,28.0
105.0,25,0,5,46,71,0,19.0,0.76,8.439523975405772,5,21.0,0.47695987473262286,5,21.0
110.0,26,0,2,50,76,0,5.0,0.19230769230769232,8.032262661582687,2,29.0,0.4547192765355208,2,29.0
115.0,30,0,2,54,84,0,9.0,0.3,9.980218551422972,2,13.0,0.6632670296912583,2,13.0
120.0,28,0,3,57,85,0,20.0,0.7142857142857143,9.757785058311944,3,22.0,0.6104251845542883,3,22.0
125.0,27,0,1,61,88,0,2.0,0.07407407407407407,7.438843978796759,1,8.0,0.38691024127288687,1,8.0
130.0,27,0,6,65,92,0,20.0,0.7407407407407407,7.615794941824402,6,20.0,0.3479637816246145,6,20.0
135.0,24,0,6,69,93,0,18.0,0.75,6.094449106696946,6,41.0,0.252220372453794,6,41.0
140.0,23,0,1,73,96,0,7.0,0.30434782608695654,6.852009455922459,1,31.0,0.34738600945364706,1,31.0
145.0,22,0,2,75,97,0,16.0,0.7272727272727273,8.98624966459147,2,18.0,0.42657999117018247,2,18.0
150.0,23,0,2,77,100,0,26.0,1.1304347826086956,10.491129586565805,2,26.0,0.6856117400357125,2,26.0
155.0,21,0,2,82,103,0,36.0,1.7142857142857142,10.663455731198827,2,36.0,0.7029523026157233,2,36.0
160.0,17,0,1,88,105,0,1.0,0.058823529411764705,10.415473783975296,1,1.0,0.6988791723767314,1,1.0
165.0,13,0,3,94,107,0,11.0,0.8461538461538461,9.656769897360839,3,11.0,0.5287250565459383,3,11.0
170.0,16,0,0,95,111,0,0.0,0.0,10.423754930209892,0,7.0,0.6702642315637196,0,7.0
175.0,18,0,1,98,116,0,4.0,0.2222222222222222,12.708809610612594,1,4.0,0.8633034335041302,1,4.0
180.0,20,0,1,100,120,0,9.0,0.45,11.830795625277354,1,9.0,0.7434513726215631,1,9.0
185.0,18,0,3,105,123,0,22.0,1.2222222222222223,9.580138156047001,3,22.0,0.5770530167833703,3,22.0
190.0,21,0,1,107,128,0,1.0,0.047619047619047616,8.768117413268024,1,14.0,0.5988521883898642,1,14.0
195.0,23,0,2,109,132,0,8.0,0.34782608695652173,9.645683250011333,2,8.0,0.623447794179853,2,8.0
200.0,24,0,2,111,135,0,2.0,0.08333333333333333,9.096512761359755,2,7.0,0.5484314123285129,2,7.0
205.0,24,0,3,115,139,0,17.0,0.7083333333333334,9.452709035865558,3,17.0,0.6169385411229925,3,17.0
210.0,23,0,3,118,141,0,7.0,0.30434782608695654,7.558118739352536,3,16.0,0.43104756573812725,3,16.0
215.0,21,0,7,121,142,0,33.0,1.5714285714285714,6.649145736250745,7,33.0,0.19982854441780265,7,33.0
220.0,21,0,4,125,146,0,18.0,0.8571428571428571,7.322875973213875,4,48.0,0.375680591071715,4,48.0
225.0,22,0,0,129,151,0,0.0,0.0,10.03962756099603,0,23.0,0.687907894790441,0,23.0
230.0,24,0,1,130,154,0,2.0,0.08333333333333333,11.121187471352384,1,2.0,0.7853833303771798,1,2.0
235.0,25,0,1,134,159,0,1.0,0.04,9.741839942585901,1,1.0,0.6474474290002429,1,1.0
