step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,12.936325109390742,0,0.0,0.9571692188041759,0,0.0
10.0,3,0,0,0,3,0,0.0,0.0,12.322840102809854,0,0.0,0.9162529065265116,0,0.0
15.0,7,0,0,0,7,0,0.0,0.0,11.394049033829067,0,0.0,0.8977341587311098,0,0.0
20.0,10,0,0,0,10,0,0.0,0.0,12.38562288787182,0,0.0,0.9490817651934974,0,0.0
25.0,14,0,1,0,14,0,1.0,0.07142857142857142,11.56128140268377,1,1.0,0.853153178019077,1,1.0
30.0,15,0,2,3,18,0,8.0,0.5333333333333333,10.424408174460478,2,8.0,0.6911484394694464,2,8.0
35.0,19,0,0,4,23,0,0.0,0.0,8.436985962268166,0,3.0,0.5682295771308333,0,3.0
40.0,21,0,2,5,26,0,7.0,0.3333333333333333,10.14289851251468,2,7.0,0.659335404718086,2,7.0
45.0,25,0,3,6,31,0,18.0,0.72,9.919918570306653,3,18.0,0.6529676685222424,3,18.0
50.0,28,0,5,8,36,0,37.0,1.3214285714285714,9.864709987687613,5,37.0,0.6314559296357763,5,37.0
55.0,25,0,1,13,38,0,3.0,0.12,9.402661321504173,1,24.0,0.6071509924202108,1,24.0
60.0,23,0,4,18,41,0,16.0,0.6956521739130435,8.144111945694146,4,16.0,0.39189623039092886,4,16.0
65.0,23,0,4,21,44,0,9.0,0.391304347826087,7.622259540441824,4,26.0,0.4082076093945865,4,26.0
70.0,21,0,1,25,46,0,8.0,0.38095238095238093,8.438150403462403,1,12.0,0.5012192279972214,1,12.0
75.0,20,0,2,28,48,0,14.0,0.7,10.144928362074534,2,11.0,0.6602340849329037,2,11.0
80.0,22,0,2,30,52,0,24.0,1.0909090909090908,10.76770637052452,2,21.0,0.7662910610227062,2,21.0
85.0,20,0,2,36,56,0,34.0,1.7,10.431140268044853,2,31.0,0.7279626259856834,2,31.0
90.0,20,0,1,41,61,0,1.0,0.05,10.341158480508376,1,3.0,0.8311633668018599,1,3.0
95.0,19,0,1,43,62,0,6.0,0.3157894736842105,9.840852977235468,1,6.0,0.6296825483166716,1,6.0
100.0,24,0,0,45,69,0,0.0,0.0,8.95343410613899,0,1.0,0.6118303262096347,0,1.0
105.0,24,0,3,49,73,0,8.0,0.3333333333333333,10.198012687952,3,8.0,0.6990970523511205,3,8.0
110.0,25,0,4,51,76,0,24.0,0.96,9.882486294243519,4,24.0,0.551875852527772,4,24.0
115.0,27,0,6,54,81,0,49.0,1.8148148148148149,9.475030532030857,6,49.0,0.5474663416965787,6,49.0
120.0,25,0,0,59,84,0,0.0,0.0,8.615744748101859,0,36.0,0.5275049781992551,0,36.0
125.0,22,0,4,65,87,0,15.0,0.6818181818181818,8.185674649403822,4,15.0,0.4584417915838241,4,15.0
130.0,25,0,3,67,92,0,7.0,0.28,7.848246339794977,3,25.0,0.465131117053707,3,25.0
135.0,25,0,3,71,96,0,20.0,0.8,9.435960315551325,3,22.0,0.5975201950532811,3,22.0
140.0,27,0,3,73,100,0,4.0,0.14814814814814814,8.095055782302508,3,14.0,0.47208591100120434,3,14.0
145.0,25,0,7,77,102,0,32.0,1.28,6.921768390835324,7,32.0,0.30549689534192154,7,32.0
150.0,26,0,7,80,106,0,26.0,1.0,6.436089200445545,7,56.0,0.3254601356417724,7,56.0
155.0,25,0,2,85,110,0,15.0,0.6,7.682216687693413,2,45.0,0.43501988086542226,2,45.0
160.0,27,0,2,86,113,0,25.0,0.9259259259259259,9.46317679041895,2,28.0,0.5298230440624425,2,28.0
165.0,26,0,3,90,116,0,37.0,1.4230769230769231,10.481924849651726,3,37.0,0.6397529541841377,3,37.0
