step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,2,0,0,0,2,0,0.0,0.0,14.531878103913908,0,0.0,0.9722351966120669,0,0.0
10.0,6,0,0,0,6,0,0.0,0.0,13.208246541109638,0,0.0,0.9505838179118987,0,0.0
15.0,8,0,0,0,8,0,0.0,0.0,12.482900608911354,0,0.0,0.9121009688000121,0,0.0
20.0,11,0,1,0,11,0,1.0,0.09090909090909091,10.229918278247725,1,1.0,0.6508227045514102,1,1.0
25.0,15,0,0,1,16,0,0.0,0.0,9.026203438080527,0,1.0,0.6656971027439155,0,1.0
30.0,17,0,5,1,18,0,14.0,0.8235294117647058,8.672974280541291,5,14.0,0.4871376050686716,5,14.0
35.0,19,0,1,2,21,0,2.0,0.10526315789473684,7.115299871921343,1,20.0,0.39798143070646513,1,20.0
40.0,17,0,0,6,23,0,0.0,0.0,7.894335734640273,0,3.0,0.5034457101931987,0,3.0
45.0,21,0,0,6,27,0,0.0,0.0,11.154837521726384,0,0.0,0.8342442857674945,0,0.0
50.0,20,0,1,8,28,0,2.0,0.1,11.237955125933418,1,2.0,0.7849613187191621,1,2.0
55.0,18,0,1,13,31,0,7.0,0.3888888888888889,10.788052444553166,1,7.0,0.7172325196559383,1,7.0
60.0,16,0,0,19,35,0,0.0,0.0,11.095266850871429,0,0.0,0.8346151261535923,0,0.0
65.0,18,0,1,23,41,0,5.0,0.2777777777777778,10.670478985851604,1,5.0,0.7573875405023133,1,5.0
70.0,20,0,4,25,45,0,22.0,1.1,9.072723987768915,4,22.0,0.5790514376286027,4,22.0
75.0,20,0,1,27,47,0,2.0,0.1,6.706270479602848,1,22.0,0.42501136904144743,1,22.0
80.0,20,0,3,29,49,0,7.0,0.35,7.470570694577279,3,9.0,0.3728487162774147,3,9.0
85.0,24,0,4,29,53,0,27.0,1.125,9.989677325341795,4,27.0,0.5338177201282479,4,27.0
90.0,23,0,1,32,55,0,2.0,0.08695652173913043,9.005808533513909,1,19.0,0.5067618100602281,1,19.0
95.0,20,0,5,38,58,0,23.0,1.15,8.522274830991337,5,23.0,0.41105886298762845,5,23.0
100.0,20,0,2,41,61,0,5.0,0.25,7.488696210337328,2,30.0,0.4254177748601136,2,30.0
