step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,12.404588098963712,0,0.0,0.9639886735127545,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,12.336674703788722,0,0.0,0.9389251413611001,0,0.0
15.0,11,0,0,0,11,0,0.0,0.0,12.440027869474333,0,0.0,0.9324677341672946,0,0.0
20.0,16,0,0,0,16,0,0.0,0.0,11.87936274521077,0,0.0,0.8784391197282484,0,0.0
25.0,21,0,1,0,21,0,2.0,0.09523809523809523,10.55158135794881,1,2.0,0.7200406698751419,1,2.0
30.0,20,0,4,4,24,0,15.0,0.75,7.515916238332639,4,15.0,0.42218813838072494,4,15.0
35.0,21,0,3,6,27,0,5.0,0.23809523809523808,5.988650676718821,3,20.0,0.3871950786152155,3,20.0
40.0,22,0,1,7,29,0,4.0,0.18181818181818182,8.672438763001523,1,10.0,0.5142243847911445,1,10.0
45.0,24,0,2,8,32,0,2.0,0.08333333333333333,8.065555596018077,2,6.0,0.4451460537764815,2,6.0
50.0,26,0,7,11,37,0,28.0,1.0769230769230769,8.090612360613585,7,32.0,0.4003228041593741,7,32.0
55.0,24,0,6,16,40,0,22.0,0.9166666666666666,6.602978034599737,6,51.0,0.36500343094485704,6,51.0
60.0,25,0,1,19,44,0,7.0,0.28,8.084482883002439,1,35.0,0.4429622924323291,1,35.0
65.0,28,0,2,20,48,0,14.0,0.5,9.968380289679702,2,19.0,0.5529547064068214,2,19.0
70.0,28,0,2,25,53,0,24.0,0.8571428571428571,10.398026122019067,2,25.0,0.6715601035447432,2,25.0
75.0,27,0,3,28,55,0,39.0,1.4444444444444444,10.834868830732992,3,39.0,0.6637369719975506,3,39.0
80.0,29,0,4,34,63,0,56.0,1.9310344827586208,10.576761112869049,4,56.0,0.6287134333448072,4,56.0
85.0,28,0,1,39,67,0,1.0,0.03571428571428571,10.132245052164905,1,23.0,0.668401497173591,1,23.0
90.0,26,0,5,45,71,0,15.0,0.5769230769230769,8.149932953614716,5,15.0,0.4435971683890975,5,15.0
95.0,28,0,4,48,76,0,10.0,0.35714285714285715,7.2726734009401275,4,29.0,0.39456324911679463,4,29.0
100.0,26,0,2,52,78,0,8.0,0.3076923076923077,6.861786187039486,2,21.0,0.3300616703213557,2,21.0
