step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,2,0,0,0,2,0,0.0,0.0,11.994159161525108,0,0.0,0.9036792646502672,0,0.0
10.0,6,0,0,0,6,0,0.0,0.0,13.689595722414738,0,0.0,0.9586647359589683,0,0.0
15.0,11,0,0,0,11,0,0.0,0.0,12.087089879786305,0,0.0,0.8520781115478059,0,0.0
20.0,18,0,0,0,18,0,0.0,0.0,11.379208249545096,0,0.0,0.8603882503623235,0,0.0
25.0,21,0,0,0,21,0,0.0,0.0,11.56064808313296,0,0.0,0.7904232325794007,0,0.0
30.0,21,0,3,2,23,0,9.0,0.42857142857142855,9.749058103244796,3,9.0,0.5475194443021953,3,9.0
35.0,18,0,1,6,24,0,1.0,0.05555555555555555,6.621201139711277,1,10.0,0.32783775514183594,1,10.0
40.0,17,0,2,7,24,0,11.0,0.6470588235294118,8.282325415396933,2,11.0,0.32132894250335065,2,11.0
45.0,17,0,2,11,28,0,3.0,0.17647058823529413,8.709975114279992,2,6.0,0.4967794807643634,2,6.0
50.0,13,0,2,15,28,0,13.0,1.0,10.292303705387452,2,13.0,0.6113680730366977,2,13.0
55.0,13,0,2,17,30,0,23.0,1.7692307692307692,10.035709598756451,2,23.0,0.5564935063420193,2,23.0
60.0,14,0,0,21,35,0,0.0,0.0,10.453003468720363,0,3.0,0.7678098018372975,0,3.0
65.0,15,0,1,22,37,0,2.0,0.13333333333333333,10.883372726946325,1,2.0,0.7576724318254533,1,2.0
70.0,18,0,0,24,42,0,0.0,0.0,9.642090441186248,0,0.0,0.6865325066027691,0,0.0
75.0,19,0,2,27,46,0,6.0,0.3157894736842105,10.770886866443721,2,6.0,0.7420357689956824,2,6.0
80.0,21,0,3,28,49,0,20.0,0.9523809523809523,10.637908075796393,3,20.0,0.6651155270073544,3,20.0
85.0,22,0,6,32,54,0,41.0,1.8636363636363635,9.307477593420101,6,41.0,0.5853616961101228,6,41.0
90.0,20,0,6,36,56,0,71.0,3.55,9.052693196308462,6,71.0,0.5352858088176158,6,71.0
95.0,20,0,1,37,57,0,1.0,0.05,7.268995216568372,1,50.0,0.3592534033625557,1,50.0
100.0,21,0,4,40,61,0,15.0,0.7142857142857143,8.88854344326416,4,16.0,0.5067398376149603,4,16.0
105.0,23,0,1,43,66,0,4.0,0.17391304347826086,9.650017769341623,1,21.0,0.6540663817383771,1,21.0
110.0,24,0,1,46,70,0,9.0,0.375,10.447917045499276,1,10.0,0.6981913187436941,1,10.0
115.0,25,0,2,50,75,0,19.0,0.76,10.586163798858392,2,20.0,0.6606840685569723,2,20.0
120.0,24,0,4,54,78,0,39.0,1.625,9.743733238563982,4,40.0,0.5804061063936597,4,40.0
125.0,22,0,5,58,80,0,63.0,2.8636363636363638,8.948984654470753,5,64.0,0.5069510842932672,5,64.0
130.0,22,0,6,61,83,0,91.0,4.136363636363637,8.937454590024,6,92.0,0.47685516536536793,6,92.0
135.0,19,0,6,66,85,0,121.0,6.368421052631579,8.588876890103288,6,122.0,0.4448930340740219,6,122.0
140.0,20,0,2,68,88,0,2.0,0.1,7.985369014897145,2,78.0,0.45537632400513356,2,78.0
145.0,19,0,3,72,91,0,11.0,0.5789473684210527,9.736576345776191,3,12.0,0.5856449373015367,3,12.0
150.0,17,0,1,74,91,0,4.0,0.23529411764705882,8.238506558871698,1,11.0,0.3745607890947818,1,11.0
155.0,16,0,1,79,95,0,9.0,0.5625,10.21862879594941,1,10.0,0.6627847781567862,1,10.0
160.0,17,0,2,80,97,0,17.0,1.0,10.752452383597756,2,18.0,0.6520570250533101,2,18.0
165.0,16,0,2,84,100,0,27.0,1.6875,9.581103751079047,2,28.0,0.6228187522570829,2,28.0
170.0,16,0,3,89,105,0,41.0,2.5625,9.762048975721374,3,42.0,0.7019761168476576,3,42.0
175.0,18,0,3,89,107,0,56.0,3.111111111111111,9.704302583282708,3,57.0,0.6388631809072544,3,57.0
180.0,21,0,2,91,112,0,2.0,0.09523809523809523,8.36958620634094,2,17.0,0.590613902925514,2,17.0
185.0,20,0,3,94,114,0,14.0,0.7,8.767407492210308,3,14.0,0.49995499878160626,3,14.0
190.0,20,0,1,96,116,0,2.0,0.1,7.962795886817777,1,13.0,0.41274791186714177,1,13.0
195.0,21,0,0,100,121,0,0.0,0.0,10.385265328993338,0,3.0,0.6574483208871652,0,3.0
200.0,23,0,2,102,125,0,5.0,0.21739130434782608,9.166204500059553,2,8.0,0.5338005710335831,2,8.0
205.0,24,0,8,105,129,0,33.0,1.375,7.240473355962912,8,36.0,0.3909694045864017,8,36.0
210.0,24,0,6,109,133,0,23.0,0.9583333333333334,5.782976600221487,6,53.0,0.36733939836381824,6,53.0
215.0,27,0,2,111,138,0,3.0,0.1111111111111111,7.648998981792894,2,42.0,0.44058372722903383,2,42.0
220.0,30,0,2,111,141,0,8.0,0.26666666666666666,8.883363555825644,2,20.0,0.43015545943892886,2,20.0
225.0,33,0,4,114,147,0,25.0,0.7575757575757576,9.723656970101423,4,25.0,0.5581178000016453,4,25.0
230.0,30,0,5,120,150,0,49.0,1.6333333333333333,10.236041165808274,5,49.0,0.6248557167110828,5,49.0
235.0,28,0,6,126,154,0,76.0,2.7142857142857144,9.498373017446067,6,76.0,0.5509546907315652,6,76.0
240.0,27,0,7,130,157,0,108.0,4.0,8.755464406772308,7,108.0,0.46545743368530523,7,108.0
245.0,24,0,2,136,160,0,9.0,0.375,8.253126249506627,2,81.0,0.49682187895964647,2,81.0
250.0,23,0,3,140,163,0,6.0,0.2608695652173913,8.614552281052717,3,15.0,0.4747119752720139,3,15.0
255.0,23,0,2,142,165,0,6.0,0.2608695652173913,8.266090782421951,2,25.0,0.41140203358519234,2,25.0
260.0,16,0,5,149,165,0,25.0,1.5625,7.744885166055754,5,34.0,0.3069874945798104,5,34.0
265.0,18,0,5,149,167,0,50.0,2.7777777777777777,8.822063747867398,5,59.0,0.2748461971519857,5,59.0
270.0,18,0,0,152,170,0,0.0,0.0,10.260000682557996,0,34.0,0.6817142518172384,0,34.0
275.0,14,0,0,158,172,0,0.0,0.0,12.504460709913147,0,0.0,0.909415566018151,0,0.0
280.0,14,0,0,160,174,0,0.0,0.0,11.293685749245878,0,0.0,0.8444589691012734,0,0.0
285.0,13,0,0,164,177,0,0.0,0.0,12.505643544586063,0,0.0,0.8832595277884031,0,0.0
290.0,14,0,1,167,181,0,2.0,0.14285714285714285,11.078168281278924,1,2.0,0.7692381559376757,1,2.0
295.0,12,0,2,169,181,0,11.0,0.9166666666666666,9.97124646862367,2,11.0,0.578715655925078,2,11.0
300.0,13,0,3,172,185,0,24.0,1.8461538461538463,9.83450534308387,3,24.0,0.6470386693128517,3,24.0
305.0,15,0,3,173,188,0,39.0,2.6,9.655002526413531,3,39.0,0.6170990043475718,3,39.0
310.0,15,0,4,175,190,0,58.0,3.8666666666666667,9.291252424799406,4,58.0,0.5413705693549834,4,58.0
315.0,15,0,6,177,192,0,82.0,5.466666666666667,7.652366707878487,6,82.0,0.3556679583551134,6,82.0
320.0,17,0,7,179,196,0,116.0,6.823529411764706,8.235574613572165,7,116.0,0.4355638050189317,7,116.0
325.0,17,0,1,181,198,0,9.0,0.5294117647058824,7.33964031330461,1,74.0,0.4511630469796479,1,74.0
330.0,18,0,4,183,201,0,9.0,0.5,8.675180891142746,4,18.0,0.4987325106718603,4,18.0
335.0,24,0,0,183,207,0,0.0,0.0,9.55527282503023,0,11.0,0.6369561103143189,0,11.0
340.0,24,0,0,186,210,0,0.0,0.0,10.496293825852051,0,0.0,0.6925126239830376,0,0.0
345.0,23,0,2,191,214,0,6.0,0.2608695652173913,11.297327221523727,2,6.0,0.6987405361664754,2,6.0
350.0,20,0,2,195,215,0,16.0,0.8,10.904317758999586,2,16.0,0.6696695242959689,2,16.0
355.0,21,0,2,199,220,0,26.0,1.2380952380952381,10.820933541955315,2,26.0,0.7266105456093493,2,26.0
360.0,18,0,2,204,222,0,36.0,2.0,11.085708446239307,2,36.0,0.7089642949030771,2,36.0
365.0,21,0,2,207,228,0,46.0,2.1904761904761907,10.666103566997448,2,46.0,0.6868624775524435,2,46.0
370.0,20,0,4,211,231,0,64.0,3.2,10.238254682773178,4,64.0,0.6573610394734184,4,64.0
375.0,19,0,6,215,234,0,88.0,4.631578947368421,8.807579195527458,6,88.0,0.48502350065415734,6,88.0
380.0,18,0,7,217,235,0,120.0,6.666666666666667,8.108255218269647,7,120.0,0.34491941402647025,7,120.0
385.0,17,0,1,220,237,0,7.0,0.4117647058823529,8.875490584083522,1,63.0,0.4807272145841175,1,63.0
390.0,18,0,2,223,241,0,5.0,0.2777777777777778,10.115836219785917,2,12.0,0.6072731321178699,2,12.0
395.0,23,0,0,225,248,0,0.0,0.0,10.55001949040462,0,3.0,0.7609186661549187,0,3.0
400.0,23,0,0,229,252,0,0.0,0.0,11.737579578916515,0,0.0,0.8318919259491336,0,0.0
405.0,25,0,1,232,257,0,1.0,0.04,11.679729137608179,1,1.0,0.7973339181864068,1,1.0
410.0,24,0,2,236,260,0,11.0,0.4583333333333333,11.26281744018929,2,11.0,0.7390888753677214,2,11.0
415.0,22,0,5,241,263,0,29.0,1.3181818181818181,10.23376889960767,5,29.0,0.5612311949594693,5,29.0
420.0,21,0,5,246,267,0,54.0,2.5714285714285716,9.752643803395122,5,54.0,0.5596086822531279,5,54.0
425.0,20,0,7,250,270,0,83.0,4.15,8.502253889052563,7,83.0,0.4512030098425944,7,83.0
430.0,22,0,2,252,274,0,8.0,0.36363636363636365,7.783895261809811,2,63.0,0.4844358028737391,2,63.0
435.0,24,0,4,255,279,0,11.0,0.4583333333333333,9.01227835847516,4,17.0,0.5570533098916114,4,17.0
440.0,26,0,3,256,282,0,5.0,0.19230769230769232,8.118311345945166,3,21.0,0.4743156261073289,3,21.0
445.0,25,0,3,260,285,0,20.0,0.8,8.411047192440815,3,26.0,0.48199098836155335,3,26.0
450.0,25,0,6,263,288,0,46.0,1.84,9.169525402366423,6,52.0,0.4458223590763557,6,52.0
455.0,26,0,7,267,293,0,79.0,3.0384615384615383,8.949000668364537,7,85.0,0.5062967627377318,7,85.0
460.0,26,0,3,271,297,0,14.0,0.5384615384615384,8.293585016336491,3,70.0,0.4898391271437763,3,70.0
465.0,25,0,3,276,301,0,12.0,0.48,9.138214391472298,3,26.0,0.5456028203439199,3,26.0
470.0,27,0,7,278,305,0,38.0,1.4074074074074074,8.776145933192154,7,38.0,0.437909981813214,7,38.0
475.0,28,0,6,281,309,0,20.0,0.7142857142857143,6.831963819434672,6,50.0,0.3831862668494821,6,50.0
480.0,27,0,3,286,313,0,10.0,0.37037037037037035,8.396256051472427,3,32.0,0.47875448665334897,3,32.0
485.0,28,0,3,288,316,0,25.0,0.8928571428571429,9.857940330152553,3,25.0,0.5399994354468574,3,25.0
490.0,27,0,4,292,319,0,41.0,1.5185185185185186,9.932692958888,4,41.0,0.5152800658074543,4,41.0
495.0,28,0,5,297,325,0,66.0,2.357142857142857,9.80888351532435,5,66.0,0.6095992346330502,5,66.0
500.0,26,0,5,302,328,0,91.0,3.5,9.612809013393118,5,91.0,0.5993390246003217,5,91.0
505.0,28,0,5,306,334,0,116.0,4.142857142857143,9.78324863311663,5,116.0,0.6041988964664776,5,116.0
510.0,26,0,3,312,338,0,5.0,0.19230769230769232,7.841232292707967,3,73.0,0.5034132192617483,3,73.0
515.0,26,0,5,315,341,0,23.0,0.8846153846153846,7.281022608999828,5,23.0,0.4085619236726618,5,23.0
520.0,27,0,11,316,343,0,64.0,2.3703703703703702,7.333523466668665,11,64.0,0.2809143628279832,11,64.0
525.0,28,0,7,320,348,0,41.0,1.4642857142857142,6.808170758810387,7,86.0,0.35045805259537116,7,86.0
530.0,24,0,1,325,349,0,7.0,0.2916666666666667,7.942493933638029,1,57.0,0.47303155726265983,1,57.0
535.0,24,0,2,327,351,0,14.0,0.5833333333333334,8.469158151890342,2,23.0,0.4038534376061908,2,23.0
540.0,27,0,4,329,356,0,33.0,1.2222222222222223,10.070903708475957,4,33.0,0.656779512584169,4,33.0
545.0,29,0,4,334,363,0,53.0,1.8275862068965518,10.990470335809455,4,53.0,0.7250440910871828,4,53.0
550.0,28,0,0,340,368,0,0.0,0.0,10.501046368464255,0,25.0,0.7173438328545229,0,25.0
555.0,25,0,4,346,371,0,11.0,0.44,8.62229544234711,4,11.0,0.5136704908925868,4,11.0
560.0,27,0,4,348,375,0,9.0,0.3333333333333333,7.592612683019665,4,26.0,0.39697307519974717,4,26.0
565.0,23,0,3,353,376,0,11.0,0.4782608695652174,6.968556301452025,3,21.0,0.33205330573196734,3,21.0
570.0,25,0,3,355,380,0,8.0,0.32,7.243331193136353,3,22.0,0.37891420404312504,3,22.0
575.0,25,0,10,359,384,0,43.0,1.72,6.381010201902533,10,53.0,0.3405171515309168,10,53.0
580.0,26,0,9,361,387,0,41.0,1.5769230769230769,4.736441729920137,9,77.0,0.2574142922071126,9,77.0
585.0,29,0,4,364,393,0,10.0,0.3448275862068966,6.712805986835283,4,69.0,0.3820790024841127,4,69.0
590.0,32,0,2,364,396,0,10.0,0.3125,7.963400072600539,2,37.0,0.421575849398217,2,37.0
595.0,33,0,3,367,400,0,21.0,0.6363636363636364,9.021005557263825,3,29.0,0.5415048413047437,3,29.0
600.0,29,0,4,372,401,0,39.0,1.3448275862068966,9.81601627530288,4,39.0,0.5819183811744886,4,39.0
