step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,12.319012356603732,0,0.0,0.9622872848850799,0,0.0
10.0,9,0,0,0,9,0,0.0,0.0,12.566545905625398,0,0.0,0.9650396512716805,0,0.0
15.0,14,0,1,0,14,0,1.0,0.07142857142857142,11.031230933473536,1,1.0,0.836389848350848,1,1.0
20.0,18,0,1,0,18,0,1.0,0.05555555555555555,9.432281082797369,1,1.0,0.703445812095569,1,1.0
25.0,25,0,2,0,25,0,7.0,0.28,10.584010516050043,2,7.0,0.7597387617014322,2,7.0
30.0,27,0,2,1,28,0,17.0,0.6296296296296297,10.98390461537822,2,17.0,0.7767672319454567,2,17.0
35.0,25,0,5,5,30,0,33.0,1.32,9.027945162907402,5,33.0,0.4852997006116606,5,33.0
40.0,25,0,6,9,34,0,62.0,2.48,8.547475432462978,6,62.0,0.4565401549988962,6,62.0
45.0,22,0,2,15,37,0,4.0,0.18181818181818182,8.11390283780507,2,43.0,0.5506084521380833,2,43.0
50.0,20,0,2,18,38,0,8.0,0.4,8.955712600148132,2,11.0,0.49254814939661923,2,11.0
55.0,22,0,1,21,43,0,1.0,0.045454545454545456,9.075960826664765,1,10.0,0.5507740502615097,1,10.0
60.0,19,0,2,26,45,0,8.0,0.42105263157894735,10.683788621056046,2,8.0,0.6867597740837224,2,8.0
65.0,19,0,0,28,47,0,0.0,0.0,10.105804481871093,0,0.0,0.6071436033226606,0,0.0
70.0,18,0,3,32,50,0,7.0,0.3888888888888889,10.0487915823352,3,7.0,0.5808624303348698,3,7.0
75.0,18,0,5,36,54,0,29.0,1.6111111111111112,8.446666528623588,5,29.0,0.49939189308885673,5,29.0
80.0,16,0,1,40,56,0,1.0,0.0625,7.715490520623651,1,27.0,0.5593666871416751,1,27.0
85.0,17,0,0,41,58,0,0.0,0.0,8.518788629926249,0,1.0,0.48588773035649596,0,1.0
90.0,22,0,3,41,63,0,12.0,0.5454545454545454,11.03025655822435,3,12.0,0.6651970956573783,3,12.0
95.0,21,0,1,44,65,0,2.0,0.09523809523809523,10.31126400603265,1,8.0,0.7142238891818875,1,8.0
100.0,19,0,2,49,68,0,8.0,0.42105263157894735,10.082355207399665,2,8.0,0.5874202396864168,2,8.0
105.0,18,0,0,53,71,0,0.0,0.0,9.53567030499115,0,6.0,0.6123112089303074,0,6.0
