step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,13.193032588850334,0,0.0,0.9662428512014362,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,12.306421719937303,0,0.0,0.9049529015466848,0,0.0
15.0,7,0,0,0,7,0,0.0,0.0,10.9688875327947,0,0.0,0.8344975870374508,0,0.0
20.0,10,0,1,0,10,0,2.0,0.2,12.051701101100795,1,2.0,0.8146453554686373,1,2.0
25.0,15,0,1,0,15,0,7.0,0.4666666666666667,12.303039730683475,1,7.0,0.8570563533508866,1,7.0
30.0,18,0,1,3,21,0,1.0,0.05555555555555555,10.439043450295786,1,1.0,0.7643653434217446,1,1.0
35.0,21,0,4,4,25,0,13.0,0.6190476190476191,8.38884683748113,4,13.0,0.5715307314112741,4,13.0
40.0,22,0,8,6,28,0,43.0,1.9545454545454546,5.527689183979603,8,43.0,0.3213769003248477,8,43.0
45.0,24,0,7,8,32,0,31.0,1.2916666666666667,4.8714812786366615,7,64.0,0.30902778680616005,7,64.0
50.0,26,0,2,9,35,0,4.0,0.15384615384615385,7.80182814007209,2,45.0,0.46731388856373385,2,45.0
55.0,28,0,1,10,38,0,1.0,0.03571428571428571,9.17119134860938,1,18.0,0.5080841389449929,1,18.0
60.0,28,0,2,14,42,0,8.0,0.2857142857142857,10.108877231460728,2,13.0,0.6767208945473867,2,13.0
65.0,28,0,2,18,46,0,18.0,0.6428571428571429,10.402463540359433,2,18.0,0.7331563184193475,2,18.0
70.0,26,0,3,23,49,0,30.0,1.1538461538461537,9.301708512624817,3,30.0,0.6304715730873772,3,30.0
75.0,27,0,2,26,53,0,4.0,0.14814814814814814,8.40444936797642,2,11.0,0.5223010339939663,2,11.0
80.0,25,0,4,30,55,0,22.0,0.88,9.188346537267652,4,22.0,0.5331247478222915,4,22.0
85.0,20,0,2,36,56,0,2.0,0.1,7.490759329346503,2,22.0,0.36296582184715354,2,22.0
90.0,16,0,0,41,57,0,0.0,0.0,9.000410499317868,0,3.0,0.4701578053277081,0,3.0
95.0,17,0,2,43,60,0,8.0,0.47058823529411764,10.220324124654189,2,8.0,0.5648076410647679,2,8.0
100.0,16,0,3,46,62,0,21.0,1.3125,10.136485894010065,3,21.0,0.5888683045995802,3,21.0
105.0,16,0,3,51,67,0,36.0,2.25,10.47978202721267,3,36.0,0.6955441641742609,3,36.0
110.0,18,0,3,54,72,0,51.0,2.8333333333333335,10.963895948272313,3,51.0,0.7429964108528054,3,51.0
115.0,21,0,1,55,76,0,2.0,0.09523809523809523,8.567923903750595,1,18.0,0.593450570948873,1,18.0
120.0,22,0,5,57,79,0,19.0,0.8636363636363636,8.356033215744278,5,19.0,0.4655866441709093,5,19.0
125.0,24,0,4,58,82,0,7.0,0.2916666666666667,7.174881905800471,4,28.0,0.3422019521256933,4,28.0
130.0,26,0,0,62,88,0,0.0,0.0,9.440406141567106,0,13.0,0.6282253104562251,0,13.0
135.0,28,0,1,65,93,0,5.0,0.17857142857142858,11.220080566285242,1,6.0,0.778263845080029,1,6.0
140.0,27,0,2,68,95,0,14.0,0.5185185185185185,10.244357635410863,2,14.0,0.6094897774746876,2,14.0
145.0,24,0,1,74,98,0,2.0,0.08333333333333333,8.36397251975688,1,6.0,0.4519334699822966,1,6.0
150.0,21,0,6,80,101,0,22.0,1.0476190476190477,8.934446061696232,6,22.0,0.4761917636646531,6,22.0
155.0,21,0,2,83,104,0,2.0,0.09523809523809523,8.330215316608559,2,26.0,0.48952196660369196,2,26.0
160.0,22,0,2,87,109,0,12.0,0.5454545454545454,9.777587578820041,2,12.0,0.6340327654917169,2,12.0
165.0,23,0,2,89,112,0,22.0,0.9565217391304348,11.127657607563206,2,22.0,0.7044123471004965,2,22.0
170.0,21,0,3,93,114,0,33.0,1.5714285714285714,10.308390543657705,3,33.0,0.6083259665460848,3,33.0
