step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,13.572008170388775,0,0.0,0.958242777866832,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,12.681786978931108,0,0.0,0.8862354978816869,0,0.0
15.0,9,0,0,0,9,0,0.0,0.0,13.281856983934624,0,0.0,0.9693470181329504,0,0.0
20.0,15,0,0,0,15,0,0.0,0.0,13.802461626222868,0,0.0,0.9565438577780645,0,0.0
25.0,18,0,1,0,18,0,2.0,0.1111111111111111,12.221143003338282,1,2.0,0.8295428767337665,1,2.0
30.0,16,0,3,5,21,0,12.0,0.75,9.627090531743463,3,12.0,0.6294483813245042,3,12.0
35.0,19,0,5,6,25,0,33.0,1.736842105263158,7.6711905349326495,5,33.0,0.439371206608925,5,33.0
40.0,22,0,9,7,29,0,69.0,3.1363636363636362,7.184404301525061,9,69.0,0.4102990182156736,9,69.0
45.0,23,0,5,11,34,0,29.0,1.2608695652173914,5.938183077871213,5,73.0,0.38128976732856806,5,73.0
50.0,24,0,1,12,36,0,3.0,0.125,7.516623259666564,1,42.0,0.4074051488930087,1,42.0
55.0,28,0,1,12,40,0,4.0,0.14285714285714285,10.103061714929535,1,16.0,0.5748852596012642,1,16.0
60.0,26,0,3,17,43,0,13.0,0.5,9.96104684378744,3,18.0,0.6277959625224183,3,18.0
65.0,24,0,4,21,45,0,30.0,1.25,9.53799392357366,4,30.0,0.5942733379332206,4,30.0
70.0,23,0,4,24,47,0,50.0,2.1739130434782608,9.709007639128513,4,50.0,0.5411367904015146,4,50.0
75.0,23,0,4,30,53,0,70.0,3.0434782608695654,10.197374791055793,4,70.0,0.6278478059719184,4,70.0
80.0,20,0,0,35,55,0,0.0,0.0,9.369295510117045,0,34.0,0.6567139514312488,0,34.0
85.0,19,0,2,39,58,0,7.0,0.3684210526315789,9.219624114421391,2,7.0,0.5087076611212754,2,7.0
90.0,20,0,0,41,61,0,0.0,0.0,8.803414331151837,0,5.0,0.5392678655413,0,5.0
95.0,20,0,0,45,65,0,0.0,0.0,9.43538839847435,0,0.0,0.6071115755978687,0,0.0
100.0,21,0,0,47,68,0,0.0,0.0,10.824260642774068,0,0.0,0.7347383534599934,0,0.0
105.0,24,0,0,49,73,0,0.0,0.0,11.137264719053874,0,0.0,0.8417331061260369,0,0.0
110.0,22,0,1,53,75,0,5.0,0.22727272727272727,10.164349572679624,1,5.0,0.7036803418360875,1,5.0
115.0,19,0,3,58,77,0,16.0,0.8421052631578947,9.622910998365333,3,16.0,0.5510771458285999,3,16.0
120.0,14,0,4,63,77,0,34.0,2.4285714285714284,8.457151952770495,4,34.0,0.32101304377022405,4,34.0
125.0,15,0,4,66,81,0,54.0,3.6,9.052491058856528,4,54.0,0.4869695767603246,4,54.0
130.0,18,0,4,67,85,0,74.0,4.111111111111111,9.991422942700048,4,74.0,0.6096473124942093,4,74.0
135.0,16,0,4,71,87,0,94.0,5.875,9.207096197941954,4,94.0,0.5285750540253479,4,94.0
140.0,16,0,0,73,89,0,0.0,0.0,7.9790663168102265,0,48.0,0.5008085491464958,0,48.0
145.0,18,0,3,75,93,0,8.0,0.4444444444444444,9.901258958078467,3,8.0,0.6345947089805221,3,8.0
150.0,20,0,1,76,96,0,2.0,0.1,9.353766235394271,1,7.0,0.5951029519539336,1,7.0
155.0,18,0,3,80,98,0,13.0,0.7222222222222222,9.504975241263853,3,13.0,0.5184093074357008,3,13.0
160.0,19,0,4,82,101,0,33.0,1.736842105263158,9.661319195062918,4,33.0,0.48331490792611476,4,33.0
165.0,20,0,0,86,106,0,0.0,0.0,9.513725500911525,0,22.0,0.6768023482819984,0,22.0
170.0,20,0,2,90,110,0,5.0,0.25,10.18376030701626,2,5.0,0.6845115015804637,2,5.0
175.0,22,0,0,91,113,0,0.0,0.0,8.596391190223196,0,4.0,0.5341056226192917,0,4.0
180.0,20,0,0,95,115,0,0.0,0.0,9.141595516099951,0,0.0,0.5597387676343963,0,0.0
185.0,23,0,2,97,120,0,6.0,0.2608695652173913,10.823311732466877,2,6.0,0.6974444300084521,2,6.0
190.0,25,0,3,100,125,0,21.0,0.84,11.036160420106066,3,21.0,0.7390212404303078,3,21.0
195.0,24,0,4,105,129,0,40.0,1.6666666666666667,10.276653853075482,4,40.0,0.5939794727493817,4,40.0
200.0,25,0,2,109,134,0,2.0,0.08,8.742409265763818,2,26.0,0.5473585214293031,2,26.0
205.0,23,0,3,113,136,0,11.0,0.4782608695652174,8.812164926946728,3,12.0,0.527837861549022,3,12.0
210.0,23,0,2,115,138,0,5.0,0.21739130434782608,6.995031760903039,2,16.0,0.33283651070037257,2,16.0
215.0,23,0,3,119,142,0,18.0,0.782608695652174,8.639394441065717,3,19.0,0.4927855012161487,3,19.0
220.0,23,0,2,122,145,0,3.0,0.13043478260869565,8.541891997437153,2,14.0,0.5045662370564162,2,14.0
225.0,23,0,6,126,149,0,24.0,1.0434782608695652,7.900691492996262,6,25.0,0.40499631891020665,6,25.0
230.0,22,0,3,129,151,0,8.0,0.36363636363636365,7.0999244441118,3,33.0,0.3642368628994683,3,33.0
235.0,19,0,1,134,153,0,1.0,0.05263157894736842,7.657882588382084,1,11.0,0.4317599852892326,1,11.0
240.0,23,0,1,134,157,0,6.0,0.2608695652173913,11.104777842435963,1,6.0,0.6952196322318529,1,6.0
245.0,26,0,1,137,163,0,11.0,0.4230769230769231,11.881779434337773,1,11.0,0.8429684717633396,1,11.0
250.0,25,0,1,141,166,0,16.0,0.64,11.236367146888412,1,16.0,0.7877912873210066,1,16.0
255.0,25,0,3,147,172,0,25.0,1.0,10.695853572258834,3,25.0,0.7178167988416729,3,25.0
260.0,25,0,3,152,177,0,40.0,1.6,11.159423959339547,3,40.0,0.7515544655898102,3,40.0
265.0,24,0,4,155,179,0,57.0,2.375,9.665666735927234,4,57.0,0.5676475416067784,4,57.0
270.0,24,0,0,160,184,0,0.0,0.0,7.939842526544903,0,24.0,0.4963273667244632,0,24.0
275.0,24,0,5,162,186,0,19.0,0.7916666666666666,8.433621501677486,5,19.0,0.4256770990166595,5,19.0
280.0,24,0,3,166,190,0,7.0,0.2916666666666667,6.687257423707538,3,30.0,0.3566847590495495,3,30.0
285.0,25,0,1,170,195,0,5.0,0.2,9.947315857086142,1,11.0,0.6448801419882245,1,11.0
290.0,25,0,1,172,197,0,10.0,0.4,10.342073120291584,1,10.0,0.6114073631608758,1,10.0
295.0,26,0,3,176,202,0,24.0,0.9230769230769231,10.093908018260803,3,24.0,0.6182382177520455,3,24.0
300.0,26,0,0,179,205,0,0.0,0.0,9.471787908291132,0,12.0,0.6446962458178865,0,12.0
305.0,22,0,1,185,207,0,5.0,0.22727272727272727,10.14819267826451,1,5.0,0.6289902952945952,1,5.0
310.0,18,0,0,190,208,0,0.0,0.0,9.110122935204691,0,3.0,0.5690068163587344,0,3.0
315.0,17,0,0,193,210,0,0.0,0.0,11.667429330768991,0,0.0,0.94131231593789,0,0.0
320.0,14,0,1,198,212,0,2.0,0.14285714285714285,11.819701850294942,1,2.0,0.8103879007359494,1,2.0
325.0,15,0,1,201,216,0,7.0,0.4666666666666667,11.900900506976477,1,7.0,0.8322616415948236,1,7.0
