step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,11.490317392879563,0,0.0,0.9384583035027756,0,0.0
10.0,6,0,0,0,6,0,0.0,0.0,12.397918790266322,0,0.0,0.9332184953267012,0,0.0
15.0,10,0,0,0,10,0,0.0,0.0,11.584002936425724,0,0.0,0.8499120127643098,0,0.0
20.0,12,0,1,0,12,0,1.0,0.08333333333333333,9.463304525468883,1,1.0,0.734852703464834,1,1.0
25.0,17,0,3,0,17,0,10.0,0.5882352941176471,10.570494207786773,3,10.0,0.6963583836469701,3,10.0
30.0,20,0,3,1,21,0,25.0,1.25,10.361784475221004,3,25.0,0.6854300533447317,3,25.0
35.0,21,0,4,4,25,0,44.0,2.0952380952380953,9.322624637005301,4,44.0,0.5523241992279095,4,44.0
40.0,22,0,6,6,28,0,74.0,3.3636363636363638,9.202798748840536,6,74.0,0.5143766887265832,6,74.0
45.0,25,0,1,8,33,0,2.0,0.08,8.909749828322264,1,51.0,0.5807583228161808,1,51.0
50.0,24,0,4,12,36,0,17.0,0.7083333333333334,9.260797449504892,4,17.0,0.5484043205417621,4,17.0
55.0,23,0,8,15,38,0,49.0,2.130434782608696,7.591654432556135,8,49.0,0.2919637645584274,8,49.0
60.0,20,0,5,21,41,0,26.0,1.3,4.868743552013973,5,63.0,0.25646168777546285,5,63.0
65.0,23,0,1,22,45,0,5.0,0.21739130434782608,8.662635781454172,1,40.0,0.5184359873136242,1,40.0
70.0,25,0,1,23,48,0,10.0,0.4,10.442198447038225,1,13.0,0.6143702769612838,1,13.0
75.0,25,0,3,26,51,0,20.0,0.8,10.443055908975175,3,20.0,0.6514376003292234,3,20.0
80.0,25,0,0,31,56,0,0.0,0.0,9.75692572098901,0,4.0,0.6759556385821848,0,4.0
85.0,25,0,4,36,61,0,15.0,0.6,9.291097189112964,4,15.0,0.5626802755041461,4,15.0
90.0,20,0,9,41,61,0,50.0,2.5,6.2709498482101935,9,50.0,0.2705942903970998,9,50.0
95.0,19,0,8,44,63,0,31.0,1.631578947368421,3.736571427785153,8,70.0,0.1687656223871778,8,70.0
100.0,24,0,2,46,70,0,11.0,0.4583333333333333,9.027189894981444,2,49.0,0.5754326411006118,2,49.0
105.0,25,0,2,46,71,0,21.0,0.84,10.461730943743532,2,25.0,0.6615636697990536,2,25.0
110.0,25,0,2,49,74,0,4.0,0.16,7.919189799328475,2,8.0,0.4084282626448532,2,8.0
115.0,24,0,8,54,78,0,29.0,1.2083333333333333,8.54653307925008,8,33.0,0.4373283296658371,8,33.0
120.0,25,0,8,58,83,0,69.0,2.76,7.76246747258757,8,73.0,0.39777831834803196,8,73.0
125.0,25,0,12,62,87,0,123.0,4.92,6.0644019440314905,12,127.0,0.336680998674783,12,127.0
130.0,27,0,16,64,91,0,195.0,7.222222222222222,4.159800933486948,16,199.0,0.23773223565919152,16,199.0
135.0,29,0,15,65,94,0,144.0,4.9655172413793105,3.7929726375801125,15,231.0,0.19883051691771683,15,231.0
140.0,30,0,8,66,96,0,48.0,1.6,5.713056047891014,8,175.0,0.26841237699314485,8,175.0
145.0,34,0,3,67,101,0,8.0,0.23529411764705882,5.989793055708802,3,192.0,0.3151041647273026,3,192.0
150.0,35,0,9,70,105,0,40.0,1.1428571428571428,5.394579206571834,9,224.0,0.28649431826109995,9,224.0
155.0,37,0,14,74,111,0,96.0,2.5945945945945947,4.399632109306427,14,280.0,0.22723976885112226,14,280.0
160.0,40,0,15,77,117,0,92.0,2.3,3.310992867007306,15,292.0,0.1878988342766061,15,292.0
165.0,40,0,14,79,119,0,62.0,1.55,3.5384607061252575,14,251.0,0.1484846724297153,14,251.0
170.0,44,1,14,79,123,0,65.0,1.4772727272727273,4.865256839845838,14,195.0,0.15135718182597335,14,195.0
175.0,41,1,8,82,123,0,34.0,0.8292682926829268,5.187345602912718,8,237.0,0.21839570084296042,8,237.0
180.0,35,3,8,88,123,0,28.0,0.8,5.091596218503842,8,257.0,0.2231188746028952,8,257.0
185.0,36,1,15,91,127,0,87.0,2.4166666666666665,3.536967747975828,15,316.0,0.13974062275775231,15,316.0
190.0,35,1,15,95,130,0,94.0,2.6857142857142855,2.181065143106361,15,337.0,0.09151780623517072,15,337.0
195.0,38,1,11,96,134,0,55.0,1.4473684210526316,3.613745446134215,11,286.0,0.12165440179196467,11,286.0
200.0,40,0,10,97,137,0,31.0,0.775,4.094190337934215,10,319.0,0.17157966827278348,10,319.0
205.0,37,1,11,100,137,0,46.0,1.2432432432432432,3.3109499992893516,11,381.0,0.16167286617832297,11,381.0
210.0,34,3,8,105,139,0,27.0,0.7941176470588235,3.282307022598607,8,376.0,0.20675038699464368,8,376.0
215.0,38,1,5,105,143,0,12.0,0.3157894736842105,4.610209823318633,5,311.0,0.21542699727786846,5,311.0
220.0,40,2,2,106,146,0,11.0,0.275,6.0048663056382745,2,194.0,0.2536719568147302,2,194.0
225.0,40,5,2,109,149,0,4.0,0.1,5.461865521251044,2,194.0,0.2725842844403321,2,194.0
230.0,38,6,9,113,151,0,31.0,0.8157894736842105,5.751745093912577,9,221.0,0.26885494827396483,9,221.0
235.0,37,6,9,118,155,0,36.0,0.972972972972973,3.9328036237523833,9,218.0,0.19380586220456014,9,218.0
240.0,38,3,5,122,160,0,11.0,0.2894736842105263,3.96285572119056,5,156.0,0.18097667216022692,5,156.0
245.0,42,2,5,122,164,0,18.0,0.42857142857142855,5.814613347261036,5,101.0,0.22825919109183745,5,101.0
250.0,40,4,3,126,166,0,5.0,0.125,5.267350932271242,3,104.0,0.2434891237188043,3,104.0
255.0,36,6,8,130,166,0,36.0,1.0,5.083243888421275,8,130.0,0.21541557241798148,8,130.0
260.0,37,3,14,134,171,0,92.0,2.4864864864864864,3.9250237662543186,14,186.0,0.16154767919183102,14,186.0
265.0,37,1,14,138,175,0,90.0,2.4324324324324325,2.662738928339657,14,212.0,0.1351567192294214,14,212.0
270.0,39,0,11,140,179,0,48.0,1.2307692307692308,3.5425557022697056,11,176.0,0.15067163979942227,11,176.0
275.0,43,0,13,140,183,0,46.0,1.069767441860465,3.981895735375115,13,237.0,0.1811855329395219,13,237.0
280.0,40,2,15,144,184,0,71.0,1.775,3.418089714133809,15,314.0,0.15610474330333268,15,314.0
285.0,40,5,10,146,186,0,49.0,1.225,3.8088165617329266,10,325.0,0.21548822165235185,10,325.0
