step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,5,0,0,0,5,0,0.0,0.0,13.574930589622237,0,0.0,0.9464184073618609,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,13.123129514927987,0,0.0,0.9028475930329238,0,0.0
15.0,9,0,0,0,9,0,0.0,0.0,12.117625564179342,0,0.0,0.8009194628067736,0,0.0
20.0,13,0,1,0,13,0,4.0,0.3076923076923077,12.60627422509573,1,4.0,0.8189824323896697,1,4.0
25.0,14,0,1,1,15,0,9.0,0.6428571428571429,11.773145237318813,1,9.0,0.755834520329817,1,9.0
30.0,11,0,2,6,17,0,17.0,1.5454545454545454,9.06733075919265,2,17.0,0.5013336007916216,2,17.0
35.0,13,0,0,7,20,0,0.0,0.0,10.359693200811897,0,2.0,0.7804757761736177,0,2.0
40.0,15,0,0,7,22,0,0.0,0.0,12.355285734608941,0,0.0,0.9028723840036452,0,0.0
45.0,14,0,1,11,25,0,2.0,0.14285714285714285,11.233797858253222,1,2.0,0.8189331708155804,1,2.0
50.0,13,0,1,14,27,0,7.0,0.5384615384615384,11.606326510156943,1,7.0,0.7851543518516908,1,7.0
55.0,12,0,0,17,29,0,0.0,0.0,11.920771757200875,0,0.0,0.8769343476527166,0,0.0
60.0,16,0,2,18,34,0,5.0,0.3125,10.252600743455744,2,5.0,0.6958089968254548,2,5.0
65.0,14,0,0,22,36,0,0.0,0.0,9.349364898679683,0,2.0,0.7373051065673433,0,2.0
70.0,17,0,2,23,40,0,5.0,0.29411764705882354,10.710035105051084,2,5.0,0.7583442895095132,2,5.0
75.0,17,0,3,24,41,0,17.0,1.0,10.518764430724843,3,17.0,0.6416621961471647,3,17.0
80.0,15,0,1,28,43,0,1.0,0.06666666666666667,8.688673422591371,1,6.0,0.5530749550633959,1,6.0
85.0,18,0,3,29,47,0,12.0,0.6666666666666666,9.973063391955883,3,12.0,0.6137025471661,3,12.0
90.0,19,0,0,32,51,0,0.0,0.0,10.290159064787472,0,7.0,0.7073816392943515,0,7.0
95.0,19,0,0,36,55,0,0.0,0.0,10.946758008348349,0,0.0,0.7629684955731441,0,0.0
100.0,21,0,2,37,58,0,8.0,0.38095238095238093,11.849320449759151,2,8.0,0.7227968770839912,2,8.0
