step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,13.552732062659508,0,0.0,0.9454874330722804,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,12.961950019769947,0,0.0,0.9273450885206671,0,0.0
15.0,9,0,0,0,9,0,0.0,0.0,11.03416204259139,0,0.0,0.8042332003424543,0,0.0
20.0,14,0,1,0,14,0,4.0,0.2857142857142857,11.633764899734766,1,4.0,0.8545866587843378,1,4.0
25.0,17,0,1,2,19,0,9.0,0.5294117647058824,10.895152494073471,1,9.0,0.7900549385956429,1,9.0
30.0,19,0,2,4,23,0,19.0,1.0,11.06388612383867,2,19.0,0.8142423702777408,2,19.0
35.0,23,0,2,5,28,0,2.0,0.08695652173913043,8.767368859580383,2,2.0,0.6236650997205002,2,2.0
40.0,26,0,4,8,34,0,19.0,0.7307692307692307,9.836705337926984,4,19.0,0.6683323746052257,4,19.0
45.0,26,0,1,10,36,0,2.0,0.07692307692307693,8.032848364146258,1,19.0,0.510113221642134,1,19.0
50.0,26,0,1,13,39,0,1.0,0.038461538461538464,8.351668997415766,1,3.0,0.47957157327474986,1,3.0
55.0,30,0,3,16,46,0,15.0,0.5,10.10104984900206,3,15.0,0.6397652616765304,3,15.0
60.0,30,0,3,21,51,0,30.0,1.0,10.563687002597009,3,30.0,0.7101281098142762,3,30.0
65.0,30,0,4,24,54,0,47.0,1.5666666666666667,9.774890881796548,4,47.0,0.6321497540243572,4,47.0
70.0,29,0,1,28,57,0,2.0,0.06896551724137931,7.737898452702238,1,26.0,0.4444465824383268,1,26.0
75.0,25,0,7,34,59,0,23.0,0.92,7.802392092344108,7,23.0,0.3686347671351368,7,23.0
80.0,25,0,4,39,64,0,17.0,0.68,7.588333850222856,4,41.0,0.42555719062276376,4,41.0
85.0,24,0,1,43,67,0,9.0,0.375,9.033264235796084,1,24.0,0.5836306059503649,1,24.0
90.0,26,0,2,45,71,0,19.0,0.7307692307692307,10.175219254140924,2,19.0,0.6579382729889132,2,19.0
95.0,27,0,4,48,75,0,35.0,1.2962962962962963,9.430656157261001,4,35.0,0.5941869849899356,4,35.0
100.0,23,0,0,53,76,0,0.0,0.0,9.361096587149662,0,14.0,0.6153735954564303,0,14.0
105.0,20,0,3,58,78,0,10.0,0.5,8.808635357822597,3,10.0,0.414260102056517,3,10.0
110.0,19,0,0,62,81,0,0.0,0.0,8.762586928801761,0,16.0,0.5258604475810509,0,16.0
115.0,20,0,1,66,86,0,4.0,0.2,10.460989521394696,1,4.0,0.7051713791849745,1,4.0
120.0,20,0,3,68,88,0,17.0,0.85,10.362024576302803,3,17.0,0.6780296464967931,3,17.0
125.0,18,0,4,71,89,0,34.0,1.8888888888888888,9.336074627419656,4,34.0,0.43676852855738313,4,34.0
130.0,16,0,1,76,92,0,1.0,0.0625,8.175867712207609,1,23.0,0.4652637864958688,1,23.0
135.0,19,0,3,78,97,0,12.0,0.631578947368421,10.409798547092024,3,12.0,0.6754555489998705,3,12.0
140.0,20,0,0,80,100,0,0.0,0.0,9.43320762637332,0,4.0,0.6454598575626475,0,4.0
145.0,22,0,0,83,105,0,0.0,0.0,11.277968580135823,0,0.0,0.7831140568707042,0,0.0
150.0,22,0,2,86,108,0,7.0,0.3181818181818182,11.647506955249805,2,7.0,0.7647812068936282,2,7.0
155.0,22,0,2,89,111,0,3.0,0.13636363636363635,9.008525793117649,2,3.0,0.5286995546773715,2,3.0
160.0,21,0,5,94,115,0,21.0,1.0,9.313332237084754,5,21.0,0.5698991581101658,5,21.0
165.0,21,0,1,98,119,0,1.0,0.047619047619047616,8.131705824245264,1,20.0,0.5217909984017977,1,20.0
170.0,21,0,1,101,122,0,1.0,0.047619047619047616,9.36857648364048,1,2.0,0.5608983968241638,1,2.0
175.0,24,0,2,102,126,0,7.0,0.2916666666666667,11.361517227522056,2,7.0,0.6674580884915895,2,7.0
180.0,22,0,2,106,128,0,17.0,0.7727272727272727,11.159602079171975,2,17.0,0.6947456684519218,2,17.0
185.0,22,0,4,111,133,0,32.0,1.4545454545454546,10.246079320365405,4,32.0,0.6185297727647098,4,32.0
190.0,22,0,5,114,136,0,55.0,2.5,10.104614777473065,5,55.0,0.6002715073891859,5,55.0
195.0,21,0,1,120,141,0,1.0,0.047619047619047616,9.098654883990898,1,29.0,0.5975403460211995,1,29.0
200.0,22,0,4,123,145,0,13.0,0.5909090909090909,9.324052958970624,4,13.0,0.6203504082425624,4,13.0
205.0,24,0,1,124,148,0,4.0,0.16666666666666666,8.623896145538097,1,16.0,0.5359568894212429,1,16.0
210.0,24,0,4,128,152,0,15.0,0.625,8.863901601636528,4,15.0,0.5460661110682594,4,15.0
215.0,23,0,4,130,153,0,35.0,1.5217391304347827,9.66368109026913,4,35.0,0.5213407432274832,4,35.0
220.0,23,0,2,133,156,0,2.0,0.08695652173913043,7.8875846537506344,2,20.0,0.4346539089105737,2,20.0
225.0,22,0,6,137,159,0,23.0,1.0454545454545454,8.90310570755584,6,23.0,0.49027241305232727,6,23.0
230.0,21,0,0,142,163,0,0.0,0.0,8.456628339879146,0,25.0,0.5272629344019283,0,25.0
235.0,22,0,2,145,167,0,10.0,0.45454545454545453,10.141032744911696,2,10.0,0.6497689281130674,2,10.0
240.0,24,0,2,147,171,0,20.0,0.8333333333333334,11.090830168987916,2,20.0,0.6812959027348073,2,20.0
245.0,23,0,1,151,174,0,2.0,0.08695652173913043,9.036740873755562,1,5.0,0.4987855210534161,1,5.0
250.0,22,0,6,156,178,0,23.0,1.0454545454545454,8.973533866225576,6,23.0,0.45842544908789323,6,23.0
255.0,20,0,2,159,179,0,7.0,0.35,7.970203893459868,2,32.0,0.431818842325163,2,32.0
260.0,18,0,2,164,182,0,4.0,0.2222222222222222,8.687562679038807,2,12.0,0.46272718494341863,2,12.0
265.0,22,0,3,164,186,0,8.0,0.36363636363636365,8.876544655695056,3,20.0,0.5127154449289483,3,20.0
270.0,22,0,6,168,190,0,32.0,1.4545454545454546,9.152362518247504,6,40.0,0.48957188154490067,6,40.0
275.0,23,0,3,170,193,0,9.0,0.391304347826087,7.070785836808492,3,39.0,0.34744566442344316,3,39.0
280.0,21,0,1,174,195,0,4.0,0.19047619047619047,8.840692461481627,1,10.0,0.4944491472251658,1,10.0
285.0,23,0,2,175,198,0,10.0,0.43478260869565216,10.781405001456504,2,10.0,0.6468408829915439,2,10.0
290.0,23,0,3,179,202,0,22.0,0.9565217391304348,10.961199898726033,3,22.0,0.6842610948510961,3,22.0
295.0,23,0,0,183,206,0,0.0,0.0,10.38754634454003,0,5.0,0.743452206247427,0,5.0
300.0,18,0,2,189,207,0,7.0,0.3888888888888889,10.183605542357297,2,7.0,0.5948317377655828,2,7.0
305.0,16,0,0,192,208,0,0.0,0.0,9.51036632488303,0,5.0,0.5120575995376563,0,5.0
310.0,15,0,1,196,211,0,3.0,0.2,11.834605297717362,1,3.0,0.7611792822340604,1,3.0
315.0,13,0,0,199,212,0,0.0,0.0,11.432894682790808,0,0.0,0.7276192625561257,0,0.0
320.0,14,0,2,202,216,0,5.0,0.35714285714285715,10.780300848572525,2,5.0,0.7200760160434388,2,5.0
325.0,15,0,2,206,221,0,15.0,1.0,10.376320680858278,2,15.0,0.7345449736283841,2,15.0
330.0,15,0,0,208,223,0,0.0,0.0,9.264680807143895,0,3.0,0.7098548038651159,0,3.0
335.0,17,0,1,209,226,0,1.0,0.058823529411764705,9.68193324594224,1,1.0,0.644949609101124,1,1.0
340.0,20,0,2,209,229,0,8.0,0.4,11.435980056431172,2,8.0,0.6949029667553156,2,8.0
345.0,18,0,2,213,231,0,18.0,1.0,10.77597990389298,2,18.0,0.7101879490157357,2,18.0
350.0,14,0,2,218,232,0,28.0,2.0,10.286570959825633,2,28.0,0.5790716977200038,2,28.0
355.0,14,0,0,222,236,0,0.0,0.0,10.846778546922376,0,0.0,0.8718265384830006,0,0.0
360.0,16,0,1,223,239,0,3.0,0.1875,11.64194696468596,1,3.0,0.8348763024068591,1,3.0
365.0,14,0,1,227,241,0,1.0,0.07142857142857142,10.539794117891727,1,1.0,0.7304775479260959,1,1.0
370.0,14,0,1,230,244,0,6.0,0.42857142857142855,10.646601337601663,1,6.0,0.6861266240193361,1,6.0
375.0,16,0,3,231,247,0,16.0,1.0,10.137697019788217,3,16.0,0.6259615550637483,3,16.0
380.0,16,0,0,234,250,0,0.0,0.0,9.526716932544957,0,4.0,0.679306275794721,0,4.0
385.0,17,0,3,237,254,0,10.0,0.5882352941176471,9.484168197378903,3,10.0,0.5615863335201013,3,10.0
390.0,21,0,1,238,259,0,1.0,0.047619047619047616,9.833224275379996,1,12.0,0.6428270216400434,1,12.0
395.0,22,0,0,241,263,0,0.0,0.0,9.630951388711907,0,1.0,0.6120499308820845,0,1.0
400.0,26,0,1,242,268,0,4.0,0.15384615384615385,10.942856152770817,1,4.0,0.7465320897838991,1,4.0
405.0,26,0,2,246,272,0,10.0,0.38461538461538464,11.16437290010745,2,10.0,0.7838646288180616,2,10.0
410.0,25,0,2,250,275,0,20.0,0.8,10.614912536610682,2,20.0,0.6799821003307208,2,20.0
415.0,24,0,1,256,280,0,1.0,0.041666666666666664,9.296712523931644,1,5.0,0.5683849685031562,1,5.0
420.0,22,0,4,261,283,0,18.0,0.8181818181818182,8.717799341782506,4,18.0,0.49995277496064827,4,18.0
425.0,24,0,4,263,287,0,6.0,0.25,8.244278013508067,4,25.0,0.45601497876993735,4,25.0
430.0,22,0,1,268,290,0,6.0,0.2727272727272727,8.956608509245012,1,12.0,0.5514383367195267,1,12.0
435.0,26,0,2,269,295,0,12.0,0.46153846153846156,10.449729844638112,2,12.0,0.695542872345511,2,12.0
440.0,26,0,2,272,298,0,2.0,0.07692307692307693,8.987547652793682,2,4.0,0.6012629475175881,2,4.0
445.0,23,0,5,278,301,0,24.0,1.0434782608695652,8.20158015543015,5,24.0,0.4628001041123281,5,24.0
450.0,23,0,5,281,304,0,12.0,0.5217391304347826,7.179856629245836,5,37.0,0.4299118643913447,5,37.0
455.0,20,0,2,285,305,0,15.0,0.75,8.00054838453861,2,23.0,0.4682855844296878,2,23.0
460.0,21,0,3,286,307,0,29.0,1.380952380952381,9.658923531244632,3,29.0,0.5118773447867689,3,29.0
465.0,22,0,3,290,312,0,6.0,0.2727272727272727,8.551888151509747,3,13.0,0.54315987833787,3,13.0
470.0,21,0,5,294,315,0,28.0,1.3333333333333333,8.639299501579254,5,28.0,0.5346538546224698,5,28.0
475.0,22,0,3,296,318,0,3.0,0.13636363636363635,8.000065176369008,3,28.0,0.48963605368213686,3,28.0
480.0,20,0,2,301,321,0,8.0,0.4,9.884659677848093,2,9.0,0.6187040507286327,2,9.0
485.0,25,0,3,302,327,0,20.0,0.8,10.943709814620423,3,20.0,0.7171565211598084,3,20.0
490.0,24,0,0,306,330,0,0.0,0.0,10.392533342985608,0,5.0,0.7128866480242143,0,5.0
495.0,22,0,2,310,332,0,7.0,0.3181818181818182,9.895513563479295,2,7.0,0.5846122274403047,2,7.0
