step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,6,0,0,0,6,0,0.0,0.0,14.133346725817217,0,0.0,0.9746035885394169,0,0.0
10.0,8,0,0,0,8,0,0.0,0.0,13.248958104916357,0,0.0,0.9078812125716789,0,0.0
15.0,13,0,0,0,13,0,0.0,0.0,10.537372087609125,0,0.0,0.7169294287175374,0,0.0
20.0,17,0,4,0,17,0,13.0,0.7647058823529411,10.65441577287201,4,13.0,0.6696475640004466,4,13.0
25.0,18,0,4,2,20,0,33.0,1.8333333333333333,8.509180475399074,4,33.0,0.5274690817200957,4,33.0
30.0,25,0,2,3,28,0,3.0,0.12,8.009342164626563,2,29.0,0.5546483224501583,2,29.0
35.0,29,0,4,4,33,0,18.0,0.6206896551724138,9.788180906452569,4,19.0,0.6447114141184462,4,19.0
40.0,30,0,3,5,35,0,4.0,0.13333333333333333,7.220832683931331,3,19.0,0.3799475465515912,3,19.0
45.0,30,0,5,9,39,0,21.0,0.7,8.191691759341662,5,23.0,0.4429148791887492,5,23.0
50.0,30,0,6,13,43,0,49.0,1.6333333333333333,8.931847934652602,6,49.0,0.5019460872492274,6,49.0
55.0,27,0,7,17,44,0,84.0,3.111111111111111,8.56172664475456,7,84.0,0.4173354582461517,7,84.0
60.0,26,0,2,22,48,0,13.0,0.5,8.03165567201016,2,74.0,0.4568985845063709,2,74.0
65.0,26,0,3,26,52,0,6.0,0.23076923076923078,9.328623212139139,3,19.0,0.5865687853442189,3,19.0
70.0,26,0,3,31,57,0,5.0,0.19230769230769232,8.3303118170273,3,26.0,0.518816470509167,3,26.0
75.0,24,0,5,36,60,0,25.0,1.0416666666666667,8.05159146236394,5,38.0,0.4678446652681421,5,38.0
80.0,27,0,2,37,64,0,4.0,0.14814814814814814,6.867263790446109,2,26.0,0.3869360687577638,2,26.0
85.0,27,0,7,40,67,0,30.0,1.1111111111111112,7.189213967604193,7,30.0,0.3534810229031553,7,30.0
90.0,25,0,6,44,69,0,24.0,0.96,5.555288688513237,6,53.0,0.2469393658285579,6,53.0
95.0,25,0,2,47,72,0,7.0,0.28,7.823994585460111,2,41.0,0.40912773164164573,2,41.0
100.0,25,0,1,50,75,0,2.0,0.08,10.248971553003763,1,14.0,0.5758855338118785,1,14.0
105.0,22,0,2,54,76,0,10.0,0.45454545454545453,10.266402966916944,2,11.0,0.6000212996635914,2,11.0
110.0,20,0,1,59,79,0,1.0,0.05,8.657425902066425,1,1.0,0.4835991427866817,1,1.0
115.0,21,0,5,61,82,0,19.0,0.9047619047619048,9.152351117011575,5,19.0,0.5024311368445208,5,19.0
120.0,16,0,0,67,83,0,0.0,0.0,8.023924998124093,0,19.0,0.4431636661999268,0,19.0
125.0,17,0,1,70,87,0,5.0,0.29411764705882354,10.670230407893158,1,5.0,0.6922970207830258,1,5.0
130.0,18,0,2,71,89,0,12.0,0.6666666666666666,11.688892703803264,2,12.0,0.7197828706067205,2,12.0
135.0,16,0,2,76,92,0,22.0,1.375,11.40080219672038,2,22.0,0.7199364584610191,2,22.0
140.0,15,0,2,80,95,0,32.0,2.1333333333333333,10.767357731944628,2,32.0,0.669619510309638,2,32.0
145.0,16,0,3,82,98,0,45.0,2.8125,10.299261860979781,3,45.0,0.6569066096776341,3,45.0
150.0,14,0,4,86,100,0,62.0,4.428571428571429,8.9208835831292,4,62.0,0.5253182636144856,4,62.0
155.0,15,0,0,86,101,0,0.0,0.0,8.316980730363454,0,16.0,0.4608001772266525,0,16.0
160.0,16,0,2,89,105,0,8.0,0.5,10.162943860235501,2,8.0,0.6640945255972843,2,8.0
165.0,16,0,0,91,107,0,0.0,0.0,10.15527993602911,0,2.0,0.6971515753005714,0,2.0
170.0,15,0,0,94,109,0,0.0,0.0,11.136434084592072,0,0.0,0.8423133225577067,0,0.0
175.0,16,0,0,96,112,0,0.0,0.0,11.432786515285402,0,0.0,0.8530415865691433,0,0.0
180.0,17,0,1,99,116,0,3.0,0.17647058823529413,11.383872975517479,1,3.0,0.7564492393740556,1,3.0
185.0,16,0,0,105,121,0,0.0,0.0,11.257288676222363,0,0.0,0.843415802525208,0,0.0
