step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,13.738487255935224,0,0.0,0.9640675775824964,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,12.869444231092697,0,0.0,0.915337049317165,0,0.0
15.0,9,0,0,0,9,0,0.0,0.0,13.199169647574605,0,0.0,0.9617375158767993,0,0.0
20.0,9,0,1,0,9,0,1.0,0.1111111111111111,10.615523993327841,1,1.0,0.5996151647514761,1,1.0
25.0,9,0,0,2,11,0,0.0,0.0,9.754080228373834,0,0.0,0.6791200004795623,0,0.0
30.0,12,0,1,3,15,0,1.0,0.08333333333333333,12.1817446481595,1,1.0,0.8163253829734428,1,1.0
35.0,11,0,0,5,16,0,0.0,0.0,11.631260252458675,0,0.0,0.8435411662931921,0,0.0
40.0,9,0,1,8,17,0,2.0,0.2222222222222222,9.307664036578856,1,2.0,0.4339991283356429,1,2.0
45.0,12,0,0,8,20,0,0.0,0.0,11.060049550821837,0,1.0,0.81621519736965,0,1.0
50.0,11,0,2,11,22,0,4.0,0.36363636363636365,10.696914859786627,2,4.0,0.6563637747985576,2,4.0
55.0,16,0,0,12,28,0,0.0,0.0,10.263919000470729,0,0.0,0.7167365731845713,0,0.0
60.0,19,0,2,15,34,0,10.0,0.5263157894736842,11.06698739751168,2,10.0,0.7719981164786902,2,10.0
65.0,22,0,0,15,37,0,0.0,0.0,10.679549399815631,0,0.0,0.7886908496489767,0,0.0
70.0,20,0,2,18,38,0,3.0,0.15,8.709535512060608,2,3.0,0.46990832227540297,2,3.0
75.0,20,0,1,21,41,0,1.0,0.05,8.200385570709674,1,7.0,0.43093122077552587,1,7.0
80.0,19,0,0,25,44,0,0.0,0.0,10.965536941421123,0,1.0,0.7998251039452328,0,1.0
85.0,22,0,1,28,50,0,1.0,0.045454545454545456,10.825449817436718,1,1.0,0.7893142900191742,1,1.0
90.0,22,0,2,31,53,0,11.0,0.5,10.733620103157717,2,11.0,0.7649458327532304,2,11.0
