step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,12.848364668163136,0,0.0,0.9777993284156853,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,12.956003408726733,0,0.0,0.9396221735425925,0,0.0
15.0,12,0,0,0,12,0,0.0,0.0,12.68332682237554,0,0.0,0.9267891397478246,0,0.0
20.0,13,0,1,0,13,0,2.0,0.15384615384615385,9.548064943401142,1,2.0,0.6320874189737045,1,2.0
25.0,16,0,0,0,16,0,0.0,0.0,8.378491925559205,0,3.0,0.566041074029056,0,3.0
30.0,21,0,4,1,22,0,14.0,0.6666666666666666,10.451602902220097,4,14.0,0.6650510723009959,4,14.0
35.0,22,0,0,4,26,0,0.0,0.0,9.903818688135301,0,12.0,0.6726273204591096,0,12.0
40.0,20,0,0,8,28,0,0.0,0.0,9.447076327434711,0,0.0,0.5835050937394859,0,0.0
45.0,24,0,2,9,33,0,7.0,0.2916666666666667,10.533722735674795,2,7.0,0.6115237010651364,2,7.0
50.0,23,0,2,13,36,0,2.0,0.08695652173913043,9.459255902005747,2,5.0,0.5989932449171605,2,5.0
55.0,20,0,4,17,37,0,19.0,0.95,8.697964214318194,4,19.0,0.37111172863701214,4,19.0
60.0,20,0,0,21,41,0,0.0,0.0,8.776762489333585,0,18.0,0.49044047193805423,0,18.0
65.0,22,0,0,24,46,0,0.0,0.0,11.562654761039534,0,0.0,0.8280058617630922,0,0.0
70.0,19,0,0,28,47,0,0.0,0.0,12.685585039496754,0,0.0,0.9618207944871697,0,0.0
75.0,19,0,1,32,51,0,1.0,0.05263157894736842,10.979288707306278,1,1.0,0.6931279173825643,1,1.0
80.0,19,0,2,37,56,0,9.0,0.47368421052631576,10.896152313717215,2,9.0,0.7671576817992064,2,9.0
85.0,16,0,2,42,58,0,19.0,1.1875,10.908448039820051,2,19.0,0.7273752450473097,2,19.0
90.0,17,0,2,43,60,0,29.0,1.7058823529411764,10.305760981478384,2,29.0,0.5881793623338066,2,29.0
95.0,19,0,0,44,63,0,0.0,0.0,10.707263758334568,0,1.0,0.730036825239391,0,1.0
100.0,17,0,1,50,67,0,5.0,0.29411764705882354,11.559363654693135,1,5.0,0.7574342313199721,1,5.0
105.0,16,0,0,54,70,0,0.0,0.0,10.733889563625066,0,0.0,0.7471601782223486,0,0.0
110.0,14,0,0,58,72,0,0.0,0.0,12.591535125824135,0,0.0,0.9421298183054675,0,0.0
115.0,16,0,0,59,75,0,0.0,0.0,12.04401596303191,0,0.0,0.8057034668284241,0,0.0
120.0,17,0,1,63,80,0,4.0,0.23529411764705882,11.391390642518308,1,4.0,0.7854536196881061,1,4.0
125.0,18,0,0,67,85,0,0.0,0.0,10.386605194239479,0,0.0,0.7777510134545097,0,0.0
130.0,17,0,3,69,86,0,9.0,0.5294117647058824,9.234546938201243,3,9.0,0.5312528287468239,3,9.0
135.0,20,0,0,70,90,0,0.0,0.0,8.182146115247459,0,11.0,0.476488840993892,0,11.0
140.0,20,0,2,74,94,0,5.0,0.25,10.204462606295557,2,5.0,0.6695815733521736,2,5.0
