step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,14.292707096452498,0,0.0,0.9469373320972687,0,0.0
10.0,6,0,0,0,6,0,0.0,0.0,14.293008958093507,0,0.0,0.9544062993347581,0,0.0
15.0,9,0,0,0,9,0,0.0,0.0,9.663699527288564,0,0.0,0.664486777216489,0,0.0
20.0,12,0,0,0,12,0,0.0,0.0,9.55340808367837,0,0.0,0.7035929089381057,0,0.0
25.0,15,0,0,1,16,0,0.0,0.0,10.939921527136379,0,0.0,0.700924332730848,0,0.0
30.0,18,0,3,1,19,0,10.0,0.5555555555555556,11.263720735419515,3,10.0,0.6611172577952964,3,10.0
35.0,19,0,3,5,24,0,25.0,1.3157894736842106,10.672294740977641,3,25.0,0.7176335615117195,3,25.0
40.0,21,0,1,9,30,0,3.0,0.14285714285714285,9.800363008017666,1,13.0,0.7581655926810265,1,13.0
45.0,25,0,4,10,35,0,17.0,0.68,9.572033405369133,4,17.0,0.6665991501109252,4,17.0
50.0,29,0,3,12,41,0,5.0,0.1724137931034483,7.8487207918928705,3,20.0,0.5217179551762028,3,20.0
55.0,29,0,5,15,44,0,21.0,0.7241379310344828,6.989474741162101,5,23.0,0.4189410517244747,5,23.0
60.0,34,0,4,16,50,0,7.0,0.20588235294117646,6.973504075773812,4,26.0,0.3847752784856129,4,26.0
65.0,34,0,8,20,54,0,33.0,0.9705882352941176,7.149563440165989,8,34.0,0.3764997354256358,8,34.0
70.0,36,0,10,23,59,0,35.0,0.9722222222222222,6.133263511076,10,63.0,0.30369766170555956,10,63.0
75.0,34,0,6,27,61,0,24.0,0.7058823529411765,5.490850889348852,6,75.0,0.23640820430383816,6,75.0
80.0,35,0,7,31,66,0,44.0,1.2571428571428571,7.490908143225407,7,76.0,0.43382704925475274,7,76.0
85.0,36,0,4,33,69,0,13.0,0.3611111111111111,6.3782262938954934,4,80.0,0.3775720399913516,4,80.0
90.0,34,0,8,38,72,0,37.0,1.088235294117647,6.024986925995575,8,75.0,0.2661537637469499,8,75.0
95.0,35,0,11,41,76,0,35.0,1.0,5.758831143591819,11,90.0,0.22013698457878614,11,90.0
100.0,34,0,6,47,81,0,25.0,0.7352941176470589,6.692634005343887,6,85.0,0.3227886204157207,6,85.0
105.0,32,0,3,50,82,0,31.0,0.96875,7.730117595464971,3,69.0,0.3578025210017356,3,69.0
110.0,30,0,3,54,84,0,46.0,1.5333333333333334,8.589467191963593,3,61.0,0.42889150626928013,3,61.0
115.0,30,0,5,58,88,0,70.0,2.3333333333333335,10.11228661966222,5,72.0,0.5766102638453897,5,72.0
120.0,28,0,1,63,91,0,1.0,0.03571428571428571,8.59013939710298,1,40.0,0.4676154204361831,1,40.0
125.0,26,0,6,69,95,0,19.0,0.7307692307692307,8.055377057818667,6,19.0,0.40248783150409745,6,19.0
130.0,25,0,5,74,99,0,16.0,0.64,7.053290859193616,5,38.0,0.3945517712920774,5,38.0
135.0,25,0,2,78,103,0,11.0,0.44,8.6398934914878,2,28.0,0.531818966389623,2,28.0
140.0,28,0,4,79,107,0,27.0,0.9642857142857143,9.605589797137318,4,27.0,0.5530188926214492,4,27.0
145.0,29,0,2,83,112,0,2.0,0.06896551724137931,8.175452731285962,2,14.0,0.5206788769572178,2,14.0
150.0,27,0,6,88,115,0,23.0,0.8518518518518519,7.52672893844855,6,23.0,0.41927364478839985,6,23.0
155.0,28,0,7,91,119,0,23.0,0.8214285714285714,6.611317753259362,7,48.0,0.3544229272797589,7,48.0
160.0,26,0,3,95,121,0,9.0,0.34615384615384615,6.812261263135615,3,43.0,0.3503142255854508,3,43.0
165.0,30,0,2,97,127,0,17.0,0.5666666666666667,9.752807703985521,2,25.0,0.5726717609775359,2,25.0
170.0,30,0,2,101,131,0,27.0,0.9,10.56615897221425,2,29.0,0.7039578961380386,2,29.0
175.0,29,0,3,105,134,0,41.0,1.4137931034482758,9.852997028524127,3,41.0,0.6502148179357684,3,41.0
180.0,26,0,2,111,137,0,2.0,0.07692307692307693,8.400120755576067,2,13.0,0.5156350711970631,2,13.0
185.0,26,0,5,116,142,0,18.0,0.6923076923076923,9.112509387792581,5,18.0,0.5194298175102466,5,18.0
190.0,25,0,2,119,144,0,4.0,0.16,8.159461065146896,2,21.0,0.41601646211506543,2,21.0
195.0,22,0,1,124,146,0,8.0,0.36363636363636365,8.497102507788108,1,9.0,0.449206753328397,1,9.0
200.0,22,0,2,127,149,0,18.0,0.8181818181818182,10.39081378585121,2,18.0,0.614625554214728,2,18.0
205.0,24,0,2,129,153,0,28.0,1.1666666666666667,11.048414030777517,2,28.0,0.7271288878289163,2,28.0
210.0,23,0,0,135,158,0,0.0,0.0,10.66667064153005,0,0.0,0.7866075205735918,0,0.0
215.0,20,0,4,140,160,0,15.0,0.75,9.828482771576983,4,15.0,0.6055937599143231,4,15.0
220.0,18,0,2,144,162,0,4.0,0.2222222222222222,6.732054026227222,2,18.0,0.32342169256683484,2,18.0
225.0,19,0,1,146,165,0,4.0,0.21052631578947367,10.082693218557964,1,10.0,0.6431174463574064,1,10.0
230.0,22,0,1,148,170,0,9.0,0.4090909090909091,11.579874863208182,1,9.0,0.7965265005997386,1,9.0
235.0,20,0,1,153,173,0,2.0,0.1,9.843932214625449,1,2.0,0.7134138123565825,1,2.0
240.0,20,0,4,155,175,0,16.0,0.8,9.639113646573293,4,16.0,0.5498796069718435,4,16.0
245.0,19,0,0,159,178,0,0.0,0.0,8.91147084021354,0,11.0,0.5189794887110352,0,11.0
250.0,16,0,0,164,180,0,0.0,0.0,10.654826865301352,0,0.0,0.6937533006602743,0,0.0
255.0,18,0,0,165,183,0,0.0,0.0,12.027053334312626,0,0.0,0.8770907546460468,0,0.0
260.0,21,0,1,169,190,0,4.0,0.19047619047619047,11.4324741339452,1,4.0,0.8460772693777909,1,4.0
265.0,23,0,1,171,194,0,9.0,0.391304347826087,11.091018824189687,1,9.0,0.7967842798517927,1,9.0
270.0,21,0,2,176,197,0,19.0,0.9047619047619048,10.887504524461667,2,19.0,0.7318193034714222,2,19.0
275.0,21,0,0,179,200,0,0.0,0.0,9.376444010800375,0,2.0,0.6004008788273004,0,2.0
280.0,25,0,3,181,206,0,10.0,0.4,10.958762092113611,3,10.0,0.687040065287912,3,10.0
285.0,22,0,0,186,208,0,0.0,0.0,9.573957257842226,0,5.0,0.5685097318503629,0,5.0
290.0,21,0,1,190,211,0,2.0,0.09523809523809523,10.177471673864213,1,2.0,0.6190516470980081,1,2.0
295.0,21,0,3,193,214,0,11.0,0.5238095238095238,11.172593923120152,3,11.0,0.6525556482754145,3,11.0
300.0,18,0,1,197,215,0,1.0,0.05555555555555555,9.599685092337545,1,6.0,0.5070870653114476,1,6.0
305.0,15,0,4,202,217,0,15.0,1.0,8.418683632118755,4,15.0,0.32681297329361614,4,15.0
310.0,18,0,0,205,223,0,0.0,0.0,9.25164203865797,0,17.0,0.5826434453898844,0,17.0
315.0,18,0,0,208,226,0,0.0,0.0,10.33465611968631,0,0.0,0.7189540631538556,0,0.0
320.0,22,0,0,208,230,0,0.0,0.0,12.15732272206401,0,0.0,0.8793243408152295,0,0.0
325.0,21,0,0,211,232,0,0.0,0.0,11.009447515911026,0,0.0,0.8226801996411539,0,0.0
330.0,19,0,0,217,236,0,0.0,0.0,10.945966761601042,0,0.0,0.7125426343543846,0,0.0
335.0,20,0,0,220,240,0,0.0,0.0,9.396798737220147,0,2.0,0.638972522157095,0,2.0
340.0,19,0,1,225,244,0,5.0,0.2631578947368421,10.18864941611776,1,5.0,0.7485226698345997,1,5.0
345.0,21,0,3,225,246,0,17.0,0.8095238095238095,9.543831650849915,3,17.0,0.5640156963765918,3,17.0
350.0,21,0,1,229,250,0,2.0,0.09523809523809523,8.662503212331112,1,12.0,0.5754986231243996,1,12.0
355.0,22,0,5,232,254,0,20.0,0.9090909090909091,9.05574392933714,5,20.0,0.5694015863500911,5,20.0
360.0,24,0,0,234,258,0,0.0,0.0,7.965661134527225,0,21.0,0.4950360663020927,0,21.0
365.0,21,0,3,238,259,0,13.0,0.6190476190476191,8.497324022752672,3,13.0,0.4564626487010053,3,13.0
370.0,25,0,4,240,265,0,32.0,1.28,10.789210931557378,4,32.0,0.6409678000445975,4,32.0
375.0,25,0,1,244,269,0,2.0,0.08,10.430680419044961,1,21.0,0.7180544730527555,1,21.0
380.0,26,0,3,248,274,0,11.0,0.4230769230769231,10.685415095134239,3,11.0,0.677777000952372,3,11.0
385.0,26,0,1,253,279,0,1.0,0.038461538461538464,9.47853207213877,1,10.0,0.585354931203989,1,10.0
390.0,26,0,2,257,283,0,6.0,0.23076923076923078,9.515811695314268,2,8.0,0.6104825470211748,2,8.0
395.0,26,0,3,260,286,0,21.0,0.8076923076923077,9.812392109534427,3,21.0,0.6251324455636098,3,21.0
400.0,27,0,1,263,290,0,1.0,0.037037037037037035,8.706922119228583,1,12.0,0.5468381944821936,1,12.0
405.0,26,0,4,268,294,0,15.0,0.5769230769230769,10.008255852670967,4,15.0,0.5915257196584797,4,15.0
410.0,26,0,3,273,299,0,5.0,0.19230769230769232,8.365646645016842,3,20.0,0.5171517647444549,3,20.0
415.0,23,0,2,278,301,0,8.0,0.34782608695652173,8.067032359198912,2,13.0,0.5027681487198263,2,13.0
420.0,25,0,3,279,304,0,23.0,0.92,9.196209073381876,3,23.0,0.535265176107638,3,23.0
425.0,25,0,3,282,307,0,4.0,0.16,8.022069047683202,3,17.0,0.45999267231915614,3,17.0
430.0,24,0,6,286,310,0,29.0,1.2083333333333333,7.9540270791549235,6,29.0,0.39039839578208285,6,29.0
435.0,24,0,2,291,315,0,8.0,0.3333333333333333,8.623298447215484,2,38.0,0.5593980304660874,2,38.0
