step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,3,0,0,0,3,0,0.0,0.0,12.582304375610091,0,0.0,0.9459203009546061,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,13.152144480644198,0,0.0,0.9460124791748077,0,0.0
15.0,11,0,0,0,11,0,0.0,0.0,9.471391597429063,0,0.0,0.685328697661147,0,0.0
20.0,16,0,0,0,16,0,0.0,0.0,8.20020287167461,0,0.0,0.6248421835788421,0,0.0
25.0,20,0,0,0,20,0,0.0,0.0,10.533414857478764,0,0.0,0.7673226463669429,0,0.0
30.0,24,0,1,0,24,0,2.0,0.08333333333333333,9.825593607946473,1,2.0,0.645394948353472,1,2.0
35.0,24,0,6,3,27,0,20.0,0.8333333333333334,8.47936387366664,6,20.0,0.43864528830204097,6,20.0
40.0,22,0,8,9,31,0,57.0,2.590909090909091,6.72823645228323,8,57.0,0.3921995620177529,8,57.0
45.0,21,0,6,11,32,0,29.0,1.380952380952381,5.571841130153995,6,69.0,0.30800179244850673,6,69.0
50.0,25,0,0,12,37,0,0.0,0.0,8.842203986499904,0,27.0,0.5043209946862074,0,27.0
55.0,30,0,1,15,45,0,3.0,0.1,11.550333944714971,1,9.0,0.7763669342873265,1,9.0
60.0,28,0,1,19,47,0,8.0,0.2857142857142857,10.619861867080061,1,8.0,0.7098897652237998,1,8.0
65.0,26,0,4,23,49,0,23.0,0.8846153846153846,9.328501492537427,4,23.0,0.49525267628491093,4,23.0
70.0,25,0,2,28,53,0,5.0,0.2,8.235481750451584,2,22.0,0.47168945758568703,2,22.0
75.0,24,0,2,32,56,0,13.0,0.5416666666666666,9.87452566679678,2,15.0,0.6436298757865697,2,15.0
80.0,22,0,4,38,60,0,31.0,1.4090909090909092,8.846052207691008,4,31.0,0.4913072221282232,4,31.0
85.0,21,0,2,41,62,0,6.0,0.2857142857142857,6.918972034033787,2,28.0,0.3577016916955368,2,28.0
90.0,19,0,0,46,65,0,0.0,0.0,9.664588409672325,0,3.0,0.6364185524576116,0,3.0
95.0,20,0,3,47,67,0,7.0,0.35,8.886034728183294,3,10.0,0.47309511677825533,3,10.0
100.0,19,0,6,51,70,0,30.0,1.5789473684210527,6.8383037163666645,6,33.0,0.3568938398095937,6,33.0
